iter	Passed	Remaining
0	1	1130
1	3	1716
2	4	1603
3	20	5187
4	23	4632
5	24	4047
6	25	3644
7	26	3270
8	29	3210
9	30	3060
10	32	2897
11	33	2728
12	49	3766
13	50	3591
14	52	3437
15	53	3307
16	54	3161
17	55	3036
18	56	2928
19	57	2813
20	59	2760
21	60	2680
22	61	2602
23	63	2579
24	64	2498
25	64	2423
26	65	2361
27	69	2395
28	70	2351
29	70	2294
30	71	2244
31	73	2223
32	74	2191
33	78	2223
34	78	2177
35	80	2153
36	88	2292
37	90	2294
38	106	2634
39	108	2592
40	108	2546
41	109	2504
42	111	2487
43	112	2454
44	114	2427
45	116	2412
46	118	2395
47	118	2359
48	120	2347
49	124	2360
50	125	2330
51	126	2309
52	127	2277
53	128	2251
54	129	2223
55	130	2192
56	131	2177
57	132	2154
58	133	2129
59	134	2110
60	135	2086
61	138	2087
62	139	2080
63	141	2066
64	142	2044
65	152	2157
66	154	2144
67	157	2159
68	159	2147
69	180	2393
70	195	2561
71	199	2574
72	201	2552
73	201	2524
74	202	2496
75	212	2577
76	214	2573
77	216	2558
78	219	2554
79	222	2561
80	223	2540
81	224	2518
82	226	2497
83	226	2475
84	227	2450
85	229	2438
86	230	2418
87	231	2401
88	232	2380
89	242	2449
90	242	2426
91	244	2409
92	245	2395
93	246	2376
94	247	2362
95	248	2343
96	250	2334
97	254	2338
98	255	2324
99	255	2303
100	256	2284
101	257	2265
102	258	2250
103	260	2243
104	262	2233
105	263	2220
106	264	2208
107	267	2212
108	268	2194
109	270	2188
110	272	2179
111	273	2165
112	288	2262
113	295	2299
114	296	2285
115	310	2368
116	312	2358
117	313	2339
118	314	2327
119	315	2311
120	315	2293
121	316	2277
122	317	2261
123	326	2306
124	327	2295
125	329	2288
126	331	2278
127	334	2276
128	335	2264
129	336	2251
130	337	2237
131	338	2225
132	339	2213
133	340	2201
134	356	2283
135	374	2380
136	375	2368
137	377	2356
138	378	2341
139	380	2338
140	381	2325
141	382	2312
142	384	2304
143	386	2295
144	387	2284
145	390	2283
146	392	2275
147	394	2269
148	395	2261
149	408	2314
150	409	2300
151	415	2317
152	417	2310
153	421	2312
154	431	2352
155	445	2410
156	446	2396
157	447	2384
158	449	2374
159	460	2418
160	475	2478
161	476	2465
162	480	2466
163	481	2452
164	483	2448
165	486	2444
166	492	2456
167	495	2455
168	497	2446
169	498	2435
170	500	2425
171	501	2412
172	502	2400
173	503	2389
174	504	2378
175	505	2367
176	507	2357
177	508	2348
178	512	2351
179	514	2343
180	515	2331
181	516	2322
182	517	2311
183	518	2300
184	521	2297
185	529	2315
186	530	2305
187	542	2343
188	543	2330
189	544	2322
190	545	2310
191	546	2301
192	548	2293
193	549	2283
194	550	2274
195	551	2262
196	553	2256
197	555	2248
198	556	2239
199	557	2229
200	558	2218
201	559	2209
202	560	2199
203	561	2189
204	561	2179
205	563	2170
206	565	2167
207	566	2158
208	567	2148
209	568	2139
210	569	2131
211	570	2122
212	572	2113
213	572	2104
214	575	2102
215	577	2095
216	578	2086
